hpName,mpName,hpId,mpId
Abnormal adipose tissue morphology (HPO),abnormal adipose tissue morphology (MPO),HP:0009124,MP:0000003
Microtia (HPO),small ears (MPO),HP:0008551,MP:0000018
Protruding ear (HPO),prominent ears (MPO),HP:0000411,MP:0000021
Abnormal cochlea morphology (HPO),abnormal cochlea morphology (MPO),HP:0000375,MP:0000031
Aplasia of the middle ear ossicles (HPO),absent middle ear ossicles (MPO),HP:0009910,MP:0000040
Increased susceptibility to fractures (HPO),fragile skeleton (MPO),HP:0002659,MP:0000061
Reduced bone mineral density (HPO),decreased bone mineral density (MPO),HP:0004349,MP:0000063
Osteopetrosis (HPO),osteopetrosis (MPO),HP:0011002,MP:0000067
Craniosynostosis (HPO),premature cranial suture closure (MPO),HP:0001363,MP:0000081
Wide anterior fontanel (HPO),large anterior fontanelle (MPO),HP:0000260,MP:0000085
Mandibular aplasia (HPO),absent mandible (MPO),HP:0009939,MP:0000087
Midline facial cleft (HPO),midline facial cleft (MPO),HP:0100629,MP:0000108
Cleft palate (HPO),cleft palate (MPO),HP:0000175,MP:0000111
Chin with vertical crease (HPO),cleft chin (MPO),HP:0400001,MP:0000114
Advanced eruption of teeth (HPO),premature tooth eruption (MPO),HP:0006288,MP:0000122
Abnormal trabecular bone morphology (HPO),abnormal trabecular bone morphology (MPO),HP:0100671,MP:0000130
Missing ribs (HPO),absent ribs (MPO),HP:0000921,MP:0000151
Hyperlordosis (HPO),lordosis (MPO),HP:0003307,MP:0000162
Abnormal cartilage morphology (HPO),abnormal cartilage morphology (MPO),HP:0002763,MP:0000163
Reduced hematocrit (HPO),decreased hematocrit (MPO),HP:0031851,MP:0000208
Leukocytosis (HPO),increased leukocyte cell number (MPO),HP:0001974,MP:0000218
Neutrophilia (HPO),increased neutrophil cell number (MPO),HP:0011897,MP:0000219
Leukopenia (HPO),decreased leukocyte cell number (MPO),HP:0001882,MP:0000221
Abnormal mean corpuscular volume (HPO),abnormal mean corpuscular volume (MPO),HP:0025065,MP:0000226
Hypertension (HPO),hypertension (MPO),HP:0000822,MP:0000231
Extramedullary hematopoiesis (HPO),extramedullary hematopoiesis (MPO),HP:0001978,MP:0000240
Myoclonus (HPO),myoclonus (MPO),HP:0001336,MP:0000243
Abnormal heart morphology (HPO),abnormal heart morphology (MPO),HP:0001627,MP:0000266
Abnormal aortic morphology (HPO),abnormal aorta morphology (MPO),HP:0001679,MP:0000272
Right ventricular hypertrophy (HPO),heart right ventricle hypertrophy (MPO),HP:0001667,MP:0000276
Double outlet right ventricle (HPO),double outlet right ventricle (MPO),HP:0001719,MP:0000284
Abnormal mitral valve morphology (HPO),abnormal mitral valve morphology (MPO),HP:0001633,MP:0000286
Schistocytosis (HPO),schistocytosis (MPO),HP:0001981,MP:0000314
Granulocytosis (HPO),increased granulocyte number (MPO),HP:0032310,MP:0000322
Hemosiderinuria (HPO),hemosiderinuria (MPO),HP:0012543,MP:0000327
Granulocytopenia (HPO),decreased granulocyte number (MPO),HP:0001913,MP:0000334
Agranulocytosis (HPO),decreased granulocyte number (MPO),HP:0012234,MP:0000334
Abnormal cell proliferation (HPO),abnormal cell proliferation (MPO),HP:0031377,MP:0000350
Folliculitis (HPO),folliculitis (MPO),HP:0025084,MP:0000376
Curly hair (HPO),waved hair (MPO),HP:0002212,MP:0000410
Alopecia (HPO),alopecia (MPO),HP:0001596,MP:0000414
Loss of eyelashes (HPO),loss of eyelid cilia (MPO),HP:0011457,MP:0000425
Microcephaly (HPO),microcephaly (MPO),HP:0000252,MP:0000433
Macrocephaly (HPO),megacephaly (MPO),HP:0000256,MP:0000434
Abnormal head movements (HPO),abnormal head movements (MPO),HP:0002457,MP:0000436
Abnormal jaw morphology (HPO),abnormal jaw morphology (MPO),HP:0030791,MP:0000454
Micrognathia (HPO),mandible hypoplasia (MPO),HP:0000347,MP:0000460
Abnormal esophagus morphology (HPO),abnormal esophagus morphology (MPO),HP:0002031,MP:0000467
Abnormal intestine morphology (HPO),abnormal intestine morphology (MPO),HP:0002242,MP:0000477
Right isomerism (HPO),right-sided isomerism (MPO),HP:0031855,MP:0000508
Hydronephrosis (HPO),hydronephrosis (MPO),HP:0000126,MP:0000519
Bilateral renal agenesis (HPO),absent kidney (MPO),HP:0010958,MP:0000520
Renal cortical cysts (HPO),kidney cortex cysts (MPO),HP:0000803,MP:0000522
Renal tubular acidosis (HPO),renal tubular acidosis (MPO),HP:0001947,MP:0000525
Hydroureter (HPO),hydroureter (MPO),HP:0000072,MP:0000536
Megacystis (HPO),distended urinary bladder (MPO),HP:0000021,MP:0000539
Left Isomerism (HPO),left-sided isomerism (MPO),HP:0031854,MP:0000542
Limb undergrowth (HPO),short limbs (MPO),HP:0009826,MP:0000547
Carpal bone aplasia (HPO),absent carpal bone (MPO),HP:0004231,MP:0000555
Adactyly (HPO),adactyly (MPO),HP:0009776,MP:0000561
Syndactyly (HPO),syndactyly (MPO),HP:0001159,MP:0000564
Talipes equinovarus (HPO),clubfoot (MPO),HP:0001762,MP:0000576
Nail dysplasia (HPO),abnormal nail morphology (MPO),HP:0002164,MP:0000579
Nail dystrophy (HPO),abnormal nail morphology (MPO),HP:0008404,MP:0000579
Elevated hepatic transaminase (HPO),abnormal liver physiology (MPO),HP:0002910,MP:0000609
Abnormal liver physiology (HPO),abnormal liver physiology (MPO),HP:0031865,MP:0000609
Cholestasis (HPO),cholestasis (MPO),HP:0001396,MP:0000610
Jaundice (HPO),jaundice (MPO),HP:0000952,MP:0000611
Abnormal salivary gland morphology (HPO),abnormal salivary gland morphology (MPO),HP:0010286,MP:0000613
Drooling (HPO),increased salivation (MPO),HP:0002307,MP:0000622
Excessive salivation (HPO),increased salivation (MPO),HP:0003781,MP:0000622
Xerostomia (HPO),decreased salivation (MPO),HP:0000217,MP:0000623
Breast aplasia (HPO),absent mammary gland (MPO),HP:0100783,MP:0000629
Adrenal gland dysgenesis (HPO),abnormal adrenal gland morphology (MPO),HP:0008216,MP:0000639
Dextrocardia (HPO),dextrocardia (MPO),HP:0001651,MP:0000644
Abnormal sebaceous gland morphology (HPO),abnormal sebaceous gland morphology (MPO),HP:0032226,MP:0000647
Absent sebaceous glands (HPO),absent sebaceous gland (MPO),HP:0410400,MP:0000648
Mesocardia (HPO),mesocardia (MPO),HP:0011599,MP:0000650
Abnormal sweat gland morphology (HPO),abnormal sweat gland morphology (MPO),HP:0000971,MP:0000674
Thyroid dysgenesis (HPO),abnormal thyroid gland morphology (MPO),HP:0008188,MP:0000681
Abnormal spleen morphology (HPO),abnormal spleen morphology (MPO),HP:0025408,MP:0000689
Lymphadenopathy (HPO),enlarged lymph nodes (MPO),HP:0002716,MP:0000702
Hypoplasia of the thymus (HPO),small thymus (MPO),HP:0000778,MP:0000706
Hyperkinetic movements (HPO),muscle spasm (MPO),HP:0002487,MP:0000743
Muscle spasm (HPO),muscle spasm (MPO),HP:0003394,MP:0000743
Tremor (HPO),tremors (MPO),HP:0001337,MP:0000745
Skeletal muscle atrophy (HPO),muscle degeneration (MPO),HP:0003202,MP:0000749
Paralysis (HPO),paralysis (MPO),HP:0003470,MP:0000753
Gastroschisis (HPO),herniated abdominal wall (MPO),HP:0001543,MP:0000757
Abnormal skeletal muscle morphology (HPO),abnormal skeletal muscle morphology (MPO),HP:0011805,MP:0000759
Abnormal tongue morphology (HPO),abnormal tongue morphology (MPO),HP:0030809,MP:0000762
Abnormal corpus callosum morphology (HPO),abnormal corpus callosum morphology (MPO),HP:0001273,MP:0000780
Dysgenesis of the hippocampus (HPO),abnormal hippocampus development (MPO),HP:0025101,MP:0000808
Abnormal cerebellum morphology (HPO),abnormal cerebellum morphology (MPO),HP:0001317,MP:0000849
Cerebellar dysplasia (HPO),abnormal cerebellum morphology (MPO),HP:0007033,MP:0000849
Cerebellar hypoplasia (HPO),small cerebellum (MPO),HP:0001321,MP:0000852
Exencephaly (HPO),exencephaly (MPO),HP:0030769,MP:0000914
Abnormal myelination (HPO),abnormal myelination (MPO),HP:0012447,MP:0000920
Peripheral demyelination (HPO),demyelination (MPO),HP:0011096,MP:0000921
Motor neuron atrophy (HPO),motor neuron degeneration (MPO),HP:0007373,MP:0000938
Abnormal cranial nerve morphology (HPO),abnormal cranial nerve morphology (MPO),HP:0001291,MP:0001056
Hypogonadism (HPO),small gonad (MPO),HP:0000135,MP:0001116
Abnormal uterus morphology (HPO),abnormal uterus morphology (MPO),HP:0031105,MP:0001120
Abnormal vagina morphology (HPO),abnormal vagina morphology (MPO),HP:0000142,MP:0001139
Abnormal testis morphology (HPO),abnormal testis morphology (MPO),HP:0000035,MP:0001146
Macroorchidism (HPO),enlarged testis (MPO),HP:0000053,MP:0001148
Abnormal spermatogenesis (HPO),abnormal spermatogenesis (MPO),HP:0008669,MP:0001156
Abnormal prostate morphology (HPO),abnormal prostate gland morphology (MPO),HP:0008775,MP:0001158
Abnormal lung morphology (HPO),abnormal lung morphology (MPO),HP:0002088,MP:0001175
Atelectasis (HPO),atelectasis (MPO),HP:0100750,MP:0001177
Bilateral lung agenesis (HPO),absent lungs (MPO),HP:0005944,MP:0001181
Pulmonary hemorrhage (HPO),lung hemorrhage (MPO),HP:0040223,MP:0001182
Erythema (HPO),reddish skin (MPO),HP:0010783,MP:0001190
Scaling skin (HPO),scaly skin (MPO),HP:0040189,MP:0001192
Thin skin (HPO),thin skin (MPO),HP:0000963,MP:0001199
Thickened skin (HPO),thick skin (MPO),HP:0001072,MP:0001200
Dermal translucency (HPO),translucent skin (MPO),HP:0010648,MP:0001201
Cutaneous photosensitivity (HPO),skin photosensitivity (MPO),HP:0000992,MP:0001202
Skin vesicle (HPO),blistering (MPO),HP:0200037,MP:0001208
Hyperkeratosis (HPO),hyperkeratosis (MPO),HP:0000962,MP:0001242
Barrel-shaped chest (HPO),barrel chest (MPO),HP:0001552,MP:0001268
Anophthalmia (HPO),anophthalmia (MPO),HP:0000528,MP:0001293
Microphthalmia (HPO),microphthalmia (MPO),HP:0000568,MP:0001297
Microphakia (HPO),small lens (MPO),HP:0012376,MP:0001306
Corneal opacity (HPO),corneal opacity (MPO),HP:0007957,MP:0001314
Retinal dysplasia (HPO),abnormal retina morphology (MPO),HP:0007973,MP:0001325
Retinal degeneration (HPO),retinal degeneration (MPO),HP:0000546,MP:0001326
Optic nerve dysplasia (HPO),abnormal optic nerve morphology (MPO),HP:0001093,MP:0001330
Keratoconjunctivitis sicca (HPO),dry eyes (MPO),HP:0001097,MP:0001337
Abnormal eyelid morphology (HPO),abnormal eyelid morphology (MPO),HP:0000492,MP:0001340
Ablepharon (HPO),absent eyelids (MPO),HP:0011224,MP:0001341
Ptosis (HPO),blepharoptosis (MPO),HP:0000508,MP:0001344
Lacrimal gland aplasia (HPO),absent lacrimal glands (MPO),HP:0007656,MP:0001347
Epiphora (HPO),excessive tearing (MPO),HP:0009926,MP:0001349
Abnormal ejaculation (HPO),abnormal ejaculation (MPO),HP:0012875,MP:0001378
Abnormality of eye movement (HPO),abnormal eye movement (MPO),HP:0000496,MP:0001389
Ataxia (HPO),ataxia (MPO),HP:0001251,MP:0001393
Hyperactivity (HPO),hyperactivity (MPO),HP:0000752,MP:0001399
Gait disturbance (HPO),abnormal gait (MPO),HP:0001288,MP:0001406
Stereotypy (HPO),stereotypic behavior (MPO),HP:0000733,MP:0001408
Abnormal drinking behavior (HPO),abnormal drinking behavior (MPO),HP:0030082,MP:0001422
Polydipsia (HPO),polydipsia (MPO),HP:0001959,MP:0001426
Dehydration (HPO),dehydration (MPO),HP:0001944,MP:0001429
Abnormal eating behavior (HPO),abnormal eating behavior (MPO),HP:0100738,MP:0001431
Impaired proprioception (HPO),abnormal motor coordination/balance (MPO),HP:0010831,MP:0001516
Athetosis (HPO),athetotic walking movements (MPO),HP:0002305,MP:0001527
Increased circulating free fatty acid level (HPO),increased circulating free fatty acid level (MPO),HP:0030781,MP:0001554
Abnormal insulin level (HPO),abnormal circulating insulin level (MPO),HP:0040214,MP:0001560
Abnormal circulating insulin level (HPO),abnormal circulating insulin level (MPO),HP:0040215,MP:0001560
Cyanosis (HPO),cyanosis (MPO),HP:0000961,MP:0001575
Anemia (HPO),anemia (MPO),HP:0001903,MP:0001577
Hemolytic anemia (HPO),hemolytic anemia (MPO),HP:0001878,MP:0001585
Abnormal red blood cell count (HPO),abnormal erythrocyte cell number (MPO),HP:0020058,MP:0001586
Abnormal hemoglobin (HPO),abnormal hemoglobin (MPO),HP:0011902,MP:0001588
Abnormal mean corpuscular hemoglobin concentration (HPO),abnormal mean corpuscular hemoglobin (MPO),HP:0025546,MP:0001589
Hypotension (HPO),hypotension (MPO),HP:0002615,MP:0001596
Arrhythmia (HPO),abnormal heart rate (MPO),HP:0011675,MP:0001629
Arrhythmia (HPO),irregular heartbeat (MPO),HP:0011675,MP:0001636
Hepatic necrosis (HPO),hepatic necrosis (MPO),HP:0002605,MP:0001654
Chronic diarrhea (HPO),chronic diarrhea (MPO),HP:0002028,MP:0001665
Postnatal growth retardation (HPO),postnatal growth retardation (MPO),HP:0008897,MP:0001732
Elevated circulating follicle stimulating hormone level (HPO),increased circulating follicle stimulating hormone level (MPO),HP:0008232,MP:0001750
Abnormal homeostasis (HPO),abnormal homeostasis (MPO),HP:0012337,MP:0001764
Abnormality of the thymus (HPO),thymus hypoplasia (MPO),HP:0000777,MP:0001823
Abnormal T cell activation (HPO),abnormal T cell activation (MPO),HP:0410035,MP:0001828
Abnormal inflammatory response (HPO),abnormal inflammatory response (MPO),HP:0012647,MP:0001845
Encephalitis (HPO),brain inflammation (MPO),HP:0002383,MP:0001847
Posterior uveitis (HPO),choroid inflammation (MPO),HP:0012123,MP:0001848
Conjunctivitis (HPO),conjunctivitis (MPO),HP:0000509,MP:0001852
Myocarditis (HPO),myocarditis (MPO),HP:0012819,MP:0001856
Pericarditis (HPO),pericarditis (MPO),HP:0001701,MP:0001857
Nephritis (HPO),kidney inflammation (MPO),HP:0000123,MP:0001859
Hepatitis (HPO),liver inflammation (MPO),HP:0012115,MP:0001860
Pneumonia (HPO),lung inflammation (MPO),HP:0002090,MP:0001861
Interstitial pneumonitis (HPO),interstitial pneumonia (MPO),HP:0006515,MP:0001862
Rhinitis (HPO),nasal inflammation (MPO),HP:0012384,MP:0001866
Rhinitis (HPO),rhinitis (MPO),HP:0012384,MP:0001867
Oophoritis (HPO),ovary inflammation (MPO),HP:0031259,MP:0001868
Pancreatitis (HPO),pancreas inflammation (MPO),HP:0001733,MP:0001869
Sialadenitis (HPO),salivary gland inflammation (MPO),HP:0031281,MP:0001870
Sinusitis (HPO),sinus inflammation (MPO),HP:0000246,MP:0001872
Gastritis (HPO),stomach inflammation (MPO),HP:0005263,MP:0001873
Epidermal acanthosis (HPO),acanthosis (MPO),HP:0025092,MP:0001874
Orchitis (HPO),testis inflammation (MPO),HP:0100796,MP:0001875
Abnormal breast physiology (HPO),abnormal mammary gland physiology (MPO),HP:0031094,MP:0001881
Anencephaly (HPO),anencephaly (MPO),HP:0002323,MP:0001890
Hydrocephalus (HPO),hydrocephaly (MPO),HP:0000238,MP:0001891
Communicating hydrocephalus (HPO),non-obstructive hydrocephaly (MPO),HP:0001334,MP:0001893
Cerebral hemorrhage (HPO),intracerebral hemorrhage (MPO),HP:0001342,MP:0001916
Intraventricular hemorrhage (HPO),intraventricular hemorrhage (MPO),HP:0030746,MP:0001917
Decreased testicular size (HPO),testis hypoplasia (MPO),HP:0008734,MP:0001940
Functional respiratory abnormality (HPO),abnormal respiration (MPO),HP:0002795,MP:0001943
Pancreatic dysplasia (HPO),abnormal pancreas morphology (MPO),HP:0005232,MP:0001944
Abnormal mucociliary clearance (HPO),abnormal mucociliary clearance (MPO),HP:0031602,MP:0001947
Vesicoureteral reflux (HPO),vesicoureteral reflux (MPO),HP:0000076,MP:0001948
Respiratory failure (HPO),respiratory failure (MPO),HP:0002878,MP:0001953
Dyspnea (HPO),respiratory distress (MPO),HP:0002094,MP:0001954
Respiratory distress (HPO),respiratory distress (MPO),HP:0002098,MP:0001954
Hypopnea (HPO),hypopnea (MPO),HP:0040213,MP:0001956
Abnormal reflex (HPO),abnormal reflex (MPO),HP:0031826,MP:0001961
Cutaneous photosensitivity (HPO),photosensitivity (MPO),HP:0000992,MP:0001999
Neoplasm (HPO),neoplasm (MPO),HP:0002664,MP:0002006
Pilomatrixoma (HPO),increased pilomatricoma incidence (MPO),HP:0030434,MP:0002013
Leiomyosarcoma (HPO),increased leiomyosarcoma incidence (MPO),HP:0100243,MP:0002035
Rhabdomyosarcoma (HPO),increased rhabdomyosarcoma incidence (MPO),HP:0002859,MP:0002036
Seizures (HPO),seizures (MPO),HP:0001250,MP:0002064
Abnormal fear/anxiety-related behavior (HPO),abnormal fear/anxiety-related behavior (MPO),HP:0100852,MP:0002065
Abnormal consumption behavior (HPO),abnormal consumption behavior (MPO),HP:0040202,MP:0002069
Abnormal glucose homeostasis (HPO),abnormal glucose homeostasis (MPO),HP:0011014,MP:0002078
Abnormality of skin pigmentation (HPO),abnormal skin pigmentation (MPO),HP:0001000,MP:0002095
Abnormal ear morphology (HPO),abnormal ear morphology (MPO),HP:0031703,MP:0002102
Abnormal skeletal muscle morphology (HPO),abnormal muscle morphology (MPO),HP:0011805,MP:0002108
Abnormal digit morphology (HPO),abnormal digit morphology (MPO),HP:0011297,MP:0002110
Renal dysplasia (HPO),abnormal kidney morphology (MPO),HP:0000110,MP:0002135
Abnormal renal morphology (HPO),abnormal kidney morphology (MPO),HP:0012210,MP:0002135
Gliosis (HPO),gliosis (MPO),HP:0002171,MP:0002183
Hypoplastic heart (HPO),small heart (MPO),HP:0001961,MP:0002188
Abnormal sex determination (HPO),abnormal sex determination (MPO),HP:0012244,MP:0002210
True hermaphroditism (HPO),true hermaphroditism (MPO),HP:0010459,MP:0002213
Neurodegeneration (HPO),neurodegeneration (MPO),HP:0002180,MP:0002229
Abnormal larynx morphology (HPO),abnormal larynx morphology (MPO),HP:0025423,MP:0002249
Abnormal bronchus morphology (HPO),abnormal bronchus morphology (MPO),HP:0025426,MP:0002264
Skeletal muscle atrophy (HPO),muscular atrophy (MPO),HP:0003202,MP:0002269
Abnormal nervous system electrophysiology (HPO),abnormal nervous system electrophysiology (MPO),HP:0001311,MP:0002272
Abnormal trachea morphology (HPO),abnormal trachea morphology (MPO),HP:0002778,MP:0002282
Cryptorchidism (HPO),cryptorchism (MPO),HP:0000028,MP:0002286
Abnormality of pulmonary circulation (HPO),abnormal pulmonary circulation (MPO),HP:0030875,MP:0002295
Aspiration (HPO),aspiration (MPO),HP:0002835,MP:0002296
Hypercapnia (HPO),hypercapnia (MPO),HP:0012416,MP:0002318
Abnormal blood gas level (HPO),abnormal blood gas level (MPO),HP:0012415,MP:0002329
Abnormal proerythroblast morphology (HPO),abnormal proerythroblast morphology (MPO),HP:0025035,MP:0002416
Abnormal megakaryocyte morphology (HPO),abnormal megakaryocyte morphology (MPO),HP:0012143,MP:0002417
Abnormal basophil morphology (HPO),abnormal basophil morphology (MPO),HP:0001912,MP:0002422
Abnormal reticulocyte morphology (HPO),abnormal reticulocyte morphology (MPO),HP:0004312,MP:0002424
Abnormal granulocyte morphology (HPO),abnormal granulocyte morphology (MPO),HP:0001911,MP:0002441
Abnormal erythrocyte morphology (HPO),abnormal erythrocyte morphology (MPO),HP:0001877,MP:0002447
Anaphylactic shock (HPO),abnormal type I hypersensitivity reaction (MPO),HP:0100845,MP:0002531
Short phalanx of finger (HPO),brachyphalangia (MPO),HP:0009803,MP:0002543
Brachydactyly (HPO),brachydactyly (MPO),HP:0001156,MP:0002544
Mydriasis (HPO),mydriasis (MPO),HP:0011499,MP:0002546
Abnormal social behavior (HPO),abnormal social/conspecific interaction (MPO),HP:0012433,MP:0002557
Abnormal emotion/affect behavior (HPO),abnormal emotion/affect behavior (MPO),HP:0100851,MP:0002572
Hyperketonemia (HPO),increased circulating ketone body level (MPO),HP:0410175,MP:0002575
Increased mean corpuscular volume (HPO),increased mean corpuscular volume (MPO),HP:0005518,MP:0002590
Decreased mean corpuscular volume (HPO),decreased mean corpuscular volume (MPO),HP:0025066,MP:0002591
Abnormal hematocrit (HPO),abnormal hematocrit (MPO),HP:0031850,MP:0002596
Abnormal eosinophil count (HPO),abnormal eosinophil cell number (MPO),HP:0020064,MP:0002602
